Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
RT @bbcarts: Tsundoku: The art of buying books and never reading them https://t.co/nzmym0Gtsh,Sun Jul 29 20:26:13 +0000 2018,0.0,0.0,1.0,0.0,1
Stacey Dooley meets a Roma girl who turned to prostitution after she was removed from her parents at 13. https://t.co/I7opQRZ6Z2,Sun Jul 29 20:03:05 +0000 2018,0.0,0.0,1.0,0.0,2
"🇺🇸 @edballs travels to America's Deep South to immerse himself in the lives of those who put Trump in power, and le… https://t.co/2oLWounf1y",Sun Jul 29 19:02:05 +0000 2018,0.422,0.109,0.891,0.0,3
"RT @BBCSport: Geraint Thomas has done it! 👏🏴󠁧󠁢󠁷󠁬󠁳󠁿

He's become the first ever Welshman to win the Tour de France 👉 https://t.co/ZtkRdPtGio…",Sun Jul 29 17:29:30 +0000 2018,0.624,0.146,0.854,0.0,4
😂 A Scottish three year old's take on the summer holidays. https://t.co/SaCbnnlnUm,Sun Jul 29 17:03:03 +0000 2018,0.67,0.315,0.591,0.094,5
"😀♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship. https://t.co/DVpVhIssTc",Sun Jul 29 16:06:01 +0000 2018,0.226,0.153,0.741,0.106,6
😂📺🇦🇱 Here’s what happened when @RomeshRanga went on Albanian TV. https://t.co/WQ8kMjSFco,Sun Jul 29 15:03:02 +0000 2018,0.0,0.0,1.0,0.0,7
Follow live coverage as 150 of the world's best cyclists compete on 200km of closed roads in London and Surrey. 🚴🚴🚴… https://t.co/it0KrVzqqu,Sun Jul 29 14:01:05 +0000 2018,0.637,0.167,0.833,0.0,8
"RT @BBCSportWales: It's a matter of hours until Geraint Thomas is crowned as the first Welshman to win the Tour de France

👉 Here's how he…",Sun Jul 29 13:20:07 +0000 2018,0.599,0.159,0.841,0.0,9
"RT @bbcgetinspired: Sam Maycock is fulfilling his dad Nigel's dream by taking on the 100-mile route in #RideLondon.

Nigel died in October…",Sun Jul 29 13:18:07 +0000 2018,-0.382,0.078,0.781,0.141,10
This teenager was banned from performing in drag at his school's end-of-year talent show. https://t.co/Hi6uXtSAFz,Sun Jul 29 13:01:07 +0000 2018,-0.273,0.142,0.609,0.249,11
"RT @BBCFood: Get the whole family making jaffa cakes this weekend 👇
https://t.co/8R0azXouDH https://t.co/xEC8aeQGs0",Sun Jul 29 11:21:30 +0000 2018,0.0,0.0,1.0,0.0,12
"What is #ThinPrivilege and who has it?
👉 https://t.co/Ocbj6tAabk https://t.co/HMapWPvJt1",Sun Jul 29 11:01:05 +0000 2018,0.0,0.0,1.0,0.0,13
"Researchers have found evidence of an existing body of liquid water on Mars.
👉 https://t.co/cmykUjdfxy https://t.co/d4FhfFj5Sr",Sun Jul 29 10:12:02 +0000 2018,0.0,0.0,1.0,0.0,14
"😂 With 37 Facebook likes and the world's most convoluted chant, the CNCSC is a force to be reckoned with.… https://t.co/7wQhKjH26j",Sun Jul 29 09:03:08 +0000 2018,0.691,0.224,0.712,0.064,15
"😥 An endangered red squirrel has died after becoming trapped inside a discarded plastic jar.
👉… https://t.co/19IZCDeWBZ",Sun Jul 29 08:01:07 +0000 2018,-0.905,0.106,0.437,0.457,16
"Two tiger brothers enjoy their first swimming lesson. 🐯💦 #InternationalTigerDay

https://t.co/QNRnmqTcK5",Sun Jul 29 07:01:03 +0000 2018,0.494,0.242,0.758,0.0,17
"Stand-up comedy from Stewart Lee, recorded live from the Palace Theatre, Southend-on-Sea. 

Stewart Lee Content Pro… https://t.co/VCNnbkhi7J",Sat Jul 28 20:45:06 +0000 2018,0.361,0.135,0.865,0.0,18
"RT @BBCOne: These seadragons are dancing together in a courtship ritual - and it's absolutely beautiful.

The complete series of Life is av…",Sat Jul 28 20:29:40 +0000 2018,0.636,0.173,0.827,0.0,19
The shocking story of a young man who shot his parents. https://t.co/6O1qzsiKAk,Sat Jul 28 20:02:03 +0000 2018,-0.402,0.0,0.787,0.213,20
When your boss is looking for you but it's after 5pm... 👋 #FridayFeeling https://t.co/J3NZSVi7jj,Fri Jul 27 15:59:00 +0000 2018,0.649,0.235,0.765,0.0,21
"👀 Who's excited to see the #BloodMoon tonight? 
#LunarEclipse https://t.co/jhx3zLDOTS",Fri Jul 27 15:16:01 +0000 2018,0.34,0.211,0.789,0.0,22
"👃💐 How teenage perfumes smell to you - an actual adult.
👉 https://t.co/PCRmoujpVJ https://t.co/P0tmdqfbUC",Fri Jul 27 13:01:03 +0000 2018,0.0,0.0,1.0,0.0,23
"RT @BBCEarth: Just a seal getting a good tummy-rub from a diver, no biggie 😍

#OurBluePlanet with @Sealdiver https://t.co/L8yAINvPdJ",Fri Jul 27 12:50:53 +0000 2018,0.572,0.245,0.664,0.091,24
😳 This man wants people to stop pretending to have sex with his hedge. https://t.co/VbuY1xtbQ1,Fri Jul 27 12:24:44 +0000 2018,-0.202,0.08,0.795,0.125,25
RT @BBCClick: The @BBCProms projection show at the Royal Albert Hall had lights so strong that planes were told not to fly over it! https:/…,Fri Jul 27 12:14:56 +0000 2018,0.674,0.159,0.841,0.0,26
⛷🐶 This is one way to keep dogs cool in the heat! https://t.co/ObXmR8febC,Fri Jul 27 12:00:18 +0000 2018,0.38,0.178,0.822,0.0,27
"🔬 From 'the God particle' to our ability to observe gravitational waves, here are 7 extraordinary things science ha… https://t.co/j4tgSCx3vl",Fri Jul 27 11:02:04 +0000 2018,0.527,0.206,0.794,0.0,28
"👀🌝 Skywatchers will be treated to the longest ""blood moon"" eclipse of the century tonight, with the totality period… https://t.co/w1Eoi6fA9R",Fri Jul 27 09:51:01 +0000 2018,0.0,0.0,1.0,0.0,29
RT @bbccomedy: British or American Stand-up? 🤔🇬🇧🇺🇸 https://t.co/HBxD8YmCSZ,Fri Jul 27 09:38:09 +0000 2018,0.0,0.0,1.0,0.0,30
😂 A Scottish three year old's take on the summer holidays. https://t.co/SaCbnnlnUm,Fri Jul 27 08:00:16 +0000 2018,0.67,0.315,0.591,0.094,31
❤️📝 A teenager who attached uplifting messages to a bridge to help people facing a mental health crisis has helped… https://t.co/gGO3mXQkkd,Fri Jul 27 07:26:02 +0000 2018,-0.34,0.118,0.702,0.18,32
💔 @BoyGeorge discovers that in 1919 his grandmother was found wandering the streets alone as a 6 year old child.… https://t.co/CmyXz2oGYr,Fri Jul 27 07:01:03 +0000 2018,-0.625,0.0,0.779,0.221,33
"After being abused on dating apps for having HIV, Joe has turned to art to help combat the stigma. 
(via @BBCThree) https://t.co/b6mar28jBl",Thu Jul 26 19:02:05 +0000 2018,-0.459,0.099,0.693,0.208,34
"Tonight, a team of inventors attempt to change the lives of three inspiring people with very different problems. 💡… https://t.co/L7yN0qkCNz",Thu Jul 26 18:02:07 +0000 2018,-0.046,0.123,0.746,0.131,35
A dog called Minnie has been reunited with her owners two years after thieves stole a truck she was sleeping in. 🐶… https://t.co/CzeVkauFSx,Thu Jul 26 17:01:06 +0000 2018,-0.511,0.0,0.858,0.142,36
"RT @bbcpress: Late for the first game of @BBCMOTD, missed the first dance on #Strictly or tuned in halfway through #EastEnders? Pushing the…",Thu Jul 26 16:11:16 +0000 2018,-0.296,0.0,0.909,0.091,37
"😀♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship.  https://t.co/DVpVhIssTc",Thu Jul 26 16:02:03 +0000 2018,0.226,0.153,0.741,0.106,38
RT @bbcweather: It is officially the hottest day of the year so far in the UK with temperatures soaring to 35C in west London. https://t.co…,Thu Jul 26 15:40:44 +0000 2018,0.0,0.0,1.0,0.0,39
"""I would like to do it all over again. There was a war on but otherwise it was absolutely wonderful."" ❤️️

Remember… https://t.co/1cSKgxW5gF",Thu Jul 26 13:01:05 +0000 2018,-0.178,0.072,0.826,0.101,40
"RT @bbcgetinspired: He came within minutes of losing his life in a horrific accident - but eight years on, he is about to represent Norther…",Mon Jul 23 08:12:20 +0000 2018,-0.676,0.0,0.753,0.247,41
"Ntando Mahlangu walked for the first time at the age of ten. 

By the time he was 14, he had a silver medal from Ri… https://t.co/JodVvKpqUw",Mon Jul 23 08:03:02 +0000 2018,0.477,0.114,0.886,0.0,42
"The UK government says air pollution is the fourth biggest threat to public health. 🤧💨

Here's what you can do to i… https://t.co/SVbU4D7961",Mon Jul 23 07:32:03 +0000 2018,-0.527,0.0,0.866,0.134,43
"✈️🎒 This is what happens to your suitcase after you've checked-in at an airport... 

https://t.co/SZZKKm6ONf",Mon Jul 23 07:03:07 +0000 2018,0.0,0.0,1.0,0.0,44
❤️ The catwalk show with a mission to prove everyone is beautiful. https://t.co/sGAR4YzNZT,Sun Jul 22 19:02:05 +0000 2018,0.599,0.245,0.755,0.0,45
"See some art
Dwell on your wrongs
Talk to strangers

Tackle the week ahead with a spot of elastic thinking. https://t.co/W3gtqBFnss",Sun Jul 22 18:05:05 +0000 2018,0.128,0.073,0.927,0.0,46
"RT @bbcmusic: Happy Birthday @SelenaGomez! 🎂🎉

Which is your favourite SG single? (We are going old school Selena and vote 'Naturally' 💫) h…",Sun Jul 22 18:02:04 +0000 2018,0.611,0.154,0.846,0.0,47
RT @BBCCountryfile: What's your top tip for enjoying our countryside? Here's @EllieHarrison_ @AdamHenson @tomheapmedia and @SteveBrownGBWR…,Sun Jul 22 17:06:28 +0000 2018,0.637,0.271,0.729,0.0,48
RT @BBCNews: London Anniversary Games: Kare Adenegan &amp; Sophie Hahn set world records https://t.co/DW7CyMwS7r,Sun Jul 22 16:45:18 +0000 2018,0.0,0.0,1.0,0.0,49
"❤️ The mother of a five-year-old boy who helped write his own obituary before he died of cancer says she is ""humble… https://t.co/k1R3Tq8KX5",Sun Jul 22 16:04:04 +0000 2018,-0.84,0.0,0.724,0.276,50
"Keeping it low key 😉

This man asked his partner to marry him with a GIANT beach mural. 🏖 
https://t.co/FrqoNA4HhG",Sun Jul 22 15:04:05 +0000 2018,-0.273,0.0,0.909,0.091,51
"😲🎨 Some of the most stunning photos from the 21st World Bodypainting Festival in Austria.
👉 https://t.co/2Z8On4ZuS3 https://t.co/YoAPvfk5cE",Sun Jul 22 14:08:06 +0000 2018,0.726,0.243,0.757,0.0,52
🐜🍞 Would you eat bread baked with insects instead of flour? https://t.co/zXYGP4MZjk,Sun Jul 22 13:06:02 +0000 2018,0.0,0.0,1.0,0.0,53
"Positive reinforcement and indirect suggestions are a powerful way to influence our decision-making.

Here are eigh… https://t.co/CyoIKBRDfs",Sun Jul 22 12:09:04 +0000 2018,0.751,0.314,0.686,0.0,54
"The teenage activist helping families find low-cost healthy food. 
(via@BBCThree) https://t.co/aM3Esv544f",Sun Jul 22 11:02:05 +0000 2018,0.599,0.353,0.647,0.0,55
💕✍️ A story penned by a 10-year-old girl with autism has attracted praise from academics and others with the condit… https://t.co/oFp5UI36Ex,Sun Jul 22 10:04:05 +0000 2018,0.751,0.274,0.726,0.0,56
RT @BBCNewsbeat: Say hello to @NicoleAMaines who will play TV's first ever transgender superhero. https://t.co/QIIPLjRZBo https://t.co/FhUr…,Sun Jul 22 08:19:58 +0000 2018,0.34,0.138,0.862,0.0,57
"🍞 Prehistoric bake-off: Scientists have discovered the earliest known evidence of bread-making, from a 14,000-year-… https://t.co/rt2YVZY1zW",Sun Jul 22 08:03:01 +0000 2018,0.0,0.0,1.0,0.0,58
"Do you have a reusable water bottle?
#PlasticsAction https://t.co/XTlzV0IEGB",Sun Jul 22 07:03:00 +0000 2018,0.0,0.0,1.0,0.0,59
"🎬🍿 A business trip leads to a chance encounter...

Pretty Woman | 10:20pm | @BBCOne | https://t.co/vCrrzh7bN7 https://t.co/KS0CZCwcDx",Sat Jul 21 20:21:08 +0000 2018,0.637,0.321,0.679,0.0,60
A US company owner gave a new employee a car after he went the extra 20 miles and walked all night to make his firs… https://t.co/kHTdIvC7Yz,Wed Jul 18 17:02:01 +0000 2018,0.0,0.0,1.0,0.0,61
This Nigerian entrepreneur is turning old tyres into furniture. https://t.co/MO11yPi5NJ,Wed Jul 18 16:00:26 +0000 2018,0.0,0.0,1.0,0.0,62
"RT @BBCSpringwatch: Robin making the most of a small garden pond, an adorable reminder to leave out water for our wildlife 😍 #WednesdayWisd…",Wed Jul 18 14:37:12 +0000 2018,0.718,0.211,0.748,0.041,63
"🎩📚 Jane Austen died 201 years ago today but continues to inspire new generations, like period tailor @ZackPinsent. https://t.co/jE8XKA0oPT",Wed Jul 18 14:00:12 +0000 2018,0.791,0.312,0.602,0.086,64
A plasterer who scooped £1m on the Lottery after claiming his ticket at the last minute has thanked a shopper who l… https://t.co/rhzxi3lQRG,Wed Jul 18 13:03:04 +0000 2018,0.44,0.127,0.873,0.0,65
💁💡 Chloe has woken up the fashion world with her brilliant idea for a wheelchair friendly jumpsuit. https://t.co/ddYHnVQlSD,Wed Jul 18 12:03:02 +0000 2018,0.791,0.318,0.682,0.0,66
"The Thai cave rescue story and four other seriously heroic tales.

Turns out people are braver in real life than th… https://t.co/utyRb39MKd",Wed Jul 18 11:00:16 +0000 2018,0.862,0.343,0.6,0.057,67
"What’s your favourite Nelson Mandela quote?
#Mandela100 #MandelaDay https://t.co/Zlgxy5m9OP",Wed Jul 18 09:19:41 +0000 2018,0.0,0.0,1.0,0.0,68
"🥄 For some people, passing through airport security can be a life-changing moment. https://t.co/4YbqwzP0Nz",Wed Jul 18 08:00:19 +0000 2018,0.34,0.167,0.833,0.0,69
Sex differences in dementia are only just being recognised – but the consequences could change the way we fight the… https://t.co/VLzXCxQqnw,Wed Jul 18 07:26:04 +0000 2018,-0.527,0.0,0.848,0.152,70
📱👀 The smartphone app helping African pupils see. https://t.co/jAtFKURZgC,Wed Jul 18 07:01:06 +0000 2018,0.296,0.216,0.784,0.0,71
"🎬🎥🍿 @KermodeMovie reveals the film-making tricks and techniques behind classic movie genres, from romcoms to horror… https://t.co/gWdjEv0bU4",Tue Jul 17 19:03:04 +0000 2018,-0.128,0.0,0.914,0.086,72
"Tonight, @GreggAWallace and @cherryhealey visit an enormous coffee factory where they produce 175,000 jars of insta… https://t.co/BL2Wl3nRDv",Tue Jul 17 18:03:06 +0000 2018,0.0,0.0,1.0,0.0,73
It's time to flip the script on dyslexia. https://t.co/fUh6PnoMgK,Tue Jul 17 17:58:03 +0000 2018,0.0,0.0,1.0,0.0,74
"🤢 Each week, the equivalent of 300 Olympic swimming pools full of raw sewage is released into the Thames.

The Five… https://t.co/PIi5TgaMkR",Tue Jul 17 16:01:00 +0000 2018,0.0,0.0,1.0,0.0,75
RT @BBCEngland: The annual census of the Queen's swans is the most English thing you'll see today 👑 https://t.co/gTWR559oqf https://t.co/hp…,Tue Jul 17 14:46:49 +0000 2018,0.0,0.0,1.0,0.0,76
"😂 Choosing the right emoji can be risky. 
#WorldEmojiDay https://t.co/3fM8zM5be0",Tue Jul 17 14:04:00 +0000 2018,0.273,0.205,0.595,0.2,77
A Bakewell pudding that went missing after being launched towards space has been found in a farm in Lincolnshire. 🚀… https://t.co/EIemUp9mPd,Tue Jul 17 13:03:05 +0000 2018,-0.178,0.072,0.821,0.106,78
"🐯 Meet the Russian man who rescues tigers for a living.  
#RussiaWithSimonReeve https://t.co/ZRRYsEItvG",Tue Jul 17 11:57:05 +0000 2018,0.318,0.161,0.839,0.0,79
A passenger on board the tourist boat pelted with lava in Hawaii describes what happened. https://t.co/zhjfAkVR3L,Tue Jul 17 11:00:21 +0000 2018,0.0,0.0,1.0,0.0,80
"Why are more parents around the world choosing to raise only children?

https://t.co/bWil43TvES",Thu Jul 12 12:04:04 +0000 2018,0.0,0.0,1.0,0.0,81
"RT @BBCFOUR: Dr Lucy Worsley shows how Britain's new ruling family fought the French, the Jacobites and each other, all at the same time. T…",Thu Jul 12 11:43:48 +0000 2018,-0.318,0.0,0.913,0.087,82
Meet the people getting the @bbcproms off to a spectacular start. 😍🎶🎻 https://t.co/rD5I0XXrLz https://t.co/5im1Tokqsr,Thu Jul 12 11:02:03 +0000 2018,0.0,0.0,1.0,0.0,83
"♻️🥛Meet the schoolchildren who redesigned their milk cartons without plastic straws. 

Their school now uses fully… https://t.co/hK4M1UtcHk",Thu Jul 12 10:30:00 +0000 2018,0.0,0.0,1.0,0.0,84
"Adam can't hide the fact that he has a stutter, and he doesn't want to anymore.

https://t.co/JVzJkk828L",Thu Jul 12 08:03:03 +0000 2018,-0.179,0.086,0.733,0.182,85
"Native wildlife is ""flocking back"" to the Outer Hebrides following a 17-year project to eradicate the American mink… https://t.co/QbGQddmWyW",Thu Jul 12 07:31:08 +0000 2018,0.0,0.0,1.0,0.0,86
"Walrus siestas can last a week! 💤 These incredible creatures know how to nap... 

https://t.co/qZRpNBkpuc",Thu Jul 12 07:03:04 +0000 2018,-0.36,0.0,0.839,0.161,87
"It’s not coming home. 💔

But it's been an incredible journey. ♥️

https://t.co/TrqeqzfTUq  #ENG #WorldCup… https://t.co/nCoN5lDJys",Wed Jul 11 20:39:03 +0000 2018,0.197,0.095,0.905,0.0,88
"RT @BBCSport: GOAL

Mario Mandzukic drills Croatia in front.

#CRO 2-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport 

#ENGCRO #Wor…",Wed Jul 11 20:23:23 +0000 2018,0.0,0.0,1.0,0.0,89
"RT @BBCSport: Extra-time it is... and we're underway...

How are your nerves?

#CRO 1-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSpo…",Wed Jul 11 20:03:46 +0000 2018,-0.103,0.0,0.935,0.065,90
"Full time: #CRO 1-1 #ENG 

Who's ready for another 30 minutes?

Follow it live: 
📱 https://t.co/TrqeqzfTUq  
📻… https://t.co/CuPZrrxFEW",Wed Jul 11 19:52:13 +0000 2018,0.361,0.122,0.878,0.0,91
RT @BBCBreakfast: No fingernails left... https://t.co/E4oE20owSY,Wed Jul 11 19:49:56 +0000 2018,-0.296,0.0,0.694,0.306,92
"RT @BBCSport: GOAL 

#CRO 1-1 #ENG 

Ivan Perisic meets a cross to flick Croatia level.

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport htt…",Wed Jul 11 19:27:11 +0000 2018,0.0,0.0,1.0,0.0,93
"It doesn't matter where you're watching, as long as you're watching. ⚽️⚽️⚽️

Millions of #ENG fans are watching… https://t.co/geST9JHDr4",Wed Jul 11 19:20:29 +0000 2018,-0.019,0.0,0.944,0.056,94
"RT @5liveSport: Only three men have ever scored for #ENG in a semi-final of a #WorldCup

⚽ Sir Bobby Charlton
⚽ @GaryLineker
⚽ Kieran Tripp…",Wed Jul 11 19:16:46 +0000 2018,0.0,0.0,1.0,0.0,95
"RT @BBCOne: We’re pretty sure that exactly 53% of the population is covered in beer right now 🤔🤗 #ENGCRO #WorldCup

https://t.co/l5UTbo9n7x",Wed Jul 11 19:02:33 +0000 2018,0.67,0.224,0.776,0.0,96
A gripping reimagining of Joan Lindsay's iconic novel that delves into the mysterious disappearances of three schoo… https://t.co/d4nPoQXIYJ,Wed Jul 11 19:02:02 +0000 2018,0.318,0.126,0.874,0.0,97
"Half time in Moscow. 

#CRO 0-1 #ENG
￼
Follow:

📱 https://t.co/5KN3TtJ2Zz  
📻 @5livesport

#ENGCRO #WorldCup https://t.co/TVSyyaX8dl",Wed Jul 11 18:50:03 +0000 2018,0.0,0.0,1.0,0.0,98
"RT @BBCSport: GOAL!

What a start! What a goal!

Kieran Trippier whips a free-kick right in! 

#CRO 0-1 #ENG 

LIVE: 
📱 https://t.co/C5GtYW…",Wed Jul 11 18:06:07 +0000 2018,0.0,0.0,1.0,0.0,99
"It's time. ⚽️

#ENGCRO #worldcup #bbcworldcup https://t.co/A0zRUx5CVK",Wed Jul 11 18:00:11 +0000 2018,0.0,0.0,1.0,0.0,100
"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… https://t.co/5TA15OiTuh",Sat Jul 28 16:43:56 +0000 2018,0.34,0.124,0.876,0.0,1
"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo",Wed Jul 25 17:25:36 +0000 2018,0.75,0.273,0.727,0.0,2
"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1",Wed Jul 25 15:12:31 +0000 2018,0.0,0.0,1.0,0.0,3
Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW,Wed Jul 25 01:05:03 +0000 2018,0.34,0.118,0.882,0.0,4
"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",Tue Jul 24 18:54:14 +0000 2018,-0.151,0.068,0.834,0.099,5
The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2,Mon Jul 23 21:30:33 +0000 2018,0.829,0.34,0.66,0.0,6
RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…,Sun Jul 22 01:56:13 +0000 2018,0.128,0.073,0.927,0.0,7
RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,Sat Jul 21 00:55:28 +0000 2018,-0.296,0.0,0.891,0.109,8
RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,Sat Jul 21 00:19:12 +0000 2018,-0.296,0.0,0.891,0.109,9
"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX",Sat Jul 21 00:10:00 +0000 2018,-0.796,0.0,0.736,0.264,10
George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,Fri Jul 20 23:44:54 +0000 2018,-0.66,0.0,0.82,0.18,11
"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",Fri Jul 20 22:29:36 +0000 2018,0.318,0.095,0.905,0.0,12
Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,Fri Jul 20 21:39:09 +0000 2018,0.0,0.0,1.0,0.0,13
"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",Fri Jul 20 15:08:23 +0000 2018,0.0,0.0,1.0,0.0,14
🤰👩‍👧🚫🍸 #WorldEmojiDay,Tue Jul 17 17:55:25 +0000 2018,0.0,0.0,1.0,0.0,15
👨📝✔️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,16
👩‍💼💼🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,17
🕵️🕵️‍♀️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,18
⚓️🦅🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,19
🏄🌴🚔 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,20
"RT @TKOCBS: The Ball Buster, the Frisboom, the Spike Launcher, and the Slammer… Get to know all of the #TKO Battle Stations: https://t.co/2…",Mon Jul 09 18:53:34 +0000 2018,-0.382,0.0,0.894,0.106,21
"RT @cbsallaccess: How much does it cost to bury the truth? #OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/2HdY…",Mon Jul 09 18:09:00 +0000 2018,0.318,0.103,0.897,0.0,22
"RT @SalvationCBS: Mark your calendars, #Salvies: Monday's new #SalvationCBS will air at a special time, 10/9c. https://t.co/RUh1J7cfj8",Fri Jul 06 22:22:55 +0000 2018,0.402,0.153,0.847,0.0,23
Happy #InternationalKissingDay! See which stars we caught locking lips on the CBS Kiss Cam. 😘 https://t.co/oMPCHZlgCl,Fri Jul 06 18:26:37 +0000 2018,0.862,0.39,0.61,0.0,24
Have you heard? Tonight's the first Live Show of #BB20. Grab a seat and get ready to watch the action unfold on CBS… https://t.co/0YgRV1HLGd,Thu Jul 05 21:12:17 +0000 2018,0.361,0.102,0.898,0.0,25
"How much does it cost to bury the truth? #OneDollar premieres Thursday, August 30, exclusively on CBS All Access.… https://t.co/1tab8eCaFz",Mon Jul 02 21:13:11 +0000 2018,0.318,0.108,0.892,0.0,26
Take a first look at our @Comic_Con lineup along with details of what you can expect to see:… https://t.co/JqBtlKcwq3,Mon Jul 02 20:47:32 +0000 2018,0.0,0.0,1.0,0.0,27
RT @TrueCrimeCBS: Two new true-crime series are set to premiere this July on CBS! Learn more about #Whistleblower and #PinkCollarCrimes bef…,Mon Jul 02 17:27:06 +0000 2018,0.0,0.0,1.0,0.0,28
