Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
"If at first you don’t succeed on @PriceIsRight…bid, bid again! https://t.co/OWBaOsFZ3i",Mon Jul 02 17:00:02 +0000 2018,0.541,0.259,0.741,0.0,29
What’s summer without @CBSBigBrother? ☀️ RT if you’re counting down the hours to the #BB20 premiere TONIGHT at 8/7c… https://t.co/Xp1s4Fp5J8,Wed Jun 27 20:31:32 +0000 2018,0.0,0.0,1.0,0.0,30
"It looks like you...

(•_•)
( •_•)&gt;⌐■-■
(⌐■_■)

Have a lot of TV to watch!

Celebrate #NationalSunglassesDay with H… https://t.co/Babt4ajIgV",Wed Jun 27 14:00:01 +0000 2018,0.757,0.289,0.711,0.0,31
The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY,Mon Jun 25 18:20:25 +0000 2018,0.557,0.204,0.796,0.0,32
Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a,Fri Jun 22 21:19:06 +0000 2018,0.187,0.098,0.902,0.0,33
"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw",Fri Jun 22 18:33:53 +0000 2018,0.42,0.189,0.811,0.0,34
"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",Thu Jun 21 23:29:50 +0000 2018,0.493,0.197,0.803,0.0,35
There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,Wed Jun 20 00:39:01 +0000 2018,0.356,0.199,0.68,0.122,36
Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,Mon Jun 18 20:27:50 +0000 2018,0.0,0.0,1.0,0.0,37
RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,Mon Jun 18 15:00:46 +0000 2018,0.0,0.0,1.0,0.0,38
"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",Sun Jun 17 13:00:01 +0000 2018,0.939,0.493,0.507,0.0,39
"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",Fri Jun 15 18:48:29 +0000 2018,0.36,0.128,0.872,0.0,40
Nathan Lane wins Best Featured Actor in a Play. #TonyAwards @angelsbway https://t.co/xc8M7JtLDE,Mon Jun 11 01:02:47 +0000 2018,0.883,0.563,0.437,0.0,41
🌟 @joshgroban and @SaraBareilles are Host Goals. 🌟 #TonyAwards https://t.co/OGQec8cXJ6,Mon Jun 11 00:58:06 +0000 2018,0.0,0.0,1.0,0.0,42
RT @adub369: This is unbelievable! @SaraBareilles and @joshgroban #TonyAwards,Mon Jun 11 00:52:34 +0000 2018,0.271,0.207,0.793,0.0,43
Who lives in a pineapple and just performed at The Tonys? 🍍🎶 The cast of SpongeBob SquarePants: The Musical!… https://t.co/mvFxdh9UJi,Mon Jun 11 00:51:11 +0000 2018,0.0,0.0,1.0,0.0,44
✨ @LindsayMendez wins Best Featured Actress in a Musical! #TonyAwards @carouselbway https://t.co/MtgFowscN5,Mon Jun 11 00:50:18 +0000 2018,0.888,0.567,0.433,0.0,45
A big congratulations to @springsteen for his Special Tony award! ✨ #TonyAwards https://t.co/i16u8uv9aT,Mon Jun 11 00:45:14 +0000 2018,0.913,0.613,0.387,0.0,46
Can the 73rd annual #TonyAwards just be three-hours of @TitussBurgess? https://t.co/3rCZwwTUtv,Mon Jun 11 00:44:36 +0000 2018,0.0,0.0,1.0,0.0,47
"RT @CBSThisMorning: ""We know there are a lot of you out there who have photos of yourself in school plays or community theater."" Post your…",Mon Jun 11 00:35:41 +0000 2018,0.25,0.08,0.92,0.0,48
Keep your acceptance speeches short or else the #TonyAwards will get the angels involved. #AngelsInAmerica 👼 https://t.co/oznhezRzDc,Mon Jun 11 00:34:45 +0000 2018,0.459,0.15,0.85,0.0,49
"If you haven't started singing, you will be the rest of the night. #TonyAwards #MyFairLady https://t.co/jbGXwnru8N",Mon Jun 11 00:31:28 +0000 2018,0.0,0.0,1.0,0.0,50
RT @marialena_rago: I like this opener for @MyFairLadyBway #TonyAwards,Mon Jun 11 00:27:42 +0000 2018,0.361,0.263,0.737,0.0,51
Laurie Metcalf wins Best Featured Actress in a Play! #TonyAwards @threetallwomen https://t.co/y4teyJaRPs,Mon Jun 11 00:27:00 +0000 2018,0.891,0.57,0.43,0.0,52
Tina Fey has a boat?? #MeanGirls #TonyAwards https://t.co/phYxmHMd3d,Mon Jun 11 00:24:31 +0000 2018,0.0,0.0,1.0,0.0,53
Representing the hardest-working men and women in Broadway… ensemble members from every nominated musical tonight!… https://t.co/imlEEnOUla,Mon Jun 11 00:22:15 +0000 2018,0.0,0.0,1.0,0.0,54
RT @misschae: I love theatre so much. #TonyAwards,Mon Jun 11 00:22:15 +0000 2018,0.637,0.412,0.588,0.0,55
On Wednesdays they wear pink and on Sundays they perform at the #TonyAwards. 💕 Who thought that performance by the… https://t.co/w7QDkaX6kF,Mon Jun 11 00:18:16 +0000 2018,0.0,0.0,1.0,0.0,56
"RT @MichaelJMoritz: ""We are all made perfectly and we all belong” - Andrew Garfield #TonyAwards",Mon Jun 11 00:13:27 +0000 2018,0.637,0.244,0.756,0.0,57
Andrew Garfield wins Best Leading Actor in a Play. #TonyAwards @angelsbway https://t.co/s2VQnw6IPP,Mon Jun 11 00:12:31 +0000 2018,0.883,0.563,0.437,0.0,58
"RT @nightingalen: Love this opening song! @joshgroban
@SaraBarreilles 
#TonyAwards",Mon Jun 11 00:06:39 +0000 2018,0.67,0.36,0.64,0.0,59
✨ @joshgroban and @SaraBareilles take the stage to begin an unforgettable evening. #TonyAwards https://t.co/y9uzlK2DzO,Mon Jun 11 00:04:15 +0000 2018,0.318,0.15,0.85,0.0,60
"Happy #MothersDay to the moms who comfort us, understand us, and keep us centered. We ❤️ you. https://t.co/4YDmZrTGIC",Sun May 13 13:16:14 +0000 2018,0.735,0.267,0.733,0.0,61
The more the merrier! CBS has ordered five more shows that just might become your new favorites next season:… https://t.co/2g5OSj2xPu,Fri May 11 23:00:40 +0000 2018,0.724,0.252,0.748,0.0,62
Thinking about the @BlueBloods_CBS season finale like… Don’t miss the surprising reveal TONIGHT at 10/9c. https://t.co/8ExkPFpnFj,Fri May 11 20:55:08 +0000 2018,0.128,0.119,0.791,0.09,63
"Double the @MomCBS, double the fun! Anyone else feel like they hit the jackpot with the back-to-back Season Finale… https://t.co/ebq8WJLKGf",Thu May 10 23:11:17 +0000 2018,0.726,0.253,0.747,0.0,64
"2 suitors, 1 Meemaw and 1 Sheldon. You won’t want to miss the season finale of @YoungSheldon tonight at 8:30/7:30c. https://t.co/Hht2yRE7ly",Thu May 10 19:24:10 +0000 2018,-0.077,0.069,0.847,0.085,65
Broadway's Biggest Night is around the corner! Who are you hoping to see? #TonyAwards2018 ✨ https://t.co/KLT8QCxWcK,Thu May 10 18:03:26 +0000 2018,0.659,0.278,0.722,0.0,66
"The big day is finally here, and you’re invited. 👰 Make sure to tune in to the @bigbangtheory’s star-studded #ShAmy… https://t.co/la9E6tvQ5b",Thu May 10 15:30:40 +0000 2018,0.318,0.095,0.905,0.0,67
"Before the #ShAmy wedding tomorrow, the @bigbangtheory stars &amp; special guests play a game of ""yay or nay"" with thes… https://t.co/ZpCM16qOyT",Wed May 09 21:35:00 +0000 2018,0.818,0.333,0.667,0.0,68
Get ready for more laughs! Learn more about the two new comedies coming to CBS: https://t.co/cpT3fd2RH5 https://t.co/NGrcp803zW,Wed May 09 19:36:24 +0000 2018,0.84,0.391,0.609,0.0,69
"Goodbyes are never easy.  After 15 seasons, don’t miss Abby’s final episode of @NCIS_CBS tonight at 8/7c.  https://t.co/GTGj2YRJA1",Tue May 08 22:26:55 +0000 2018,-0.46,0.0,0.8,0.2,70
Will you be watching the @BullCBS Season 2 Finale tonight at 9/8c? RT if your answer is yes! https://t.co/OxnyEDVsKj,Tue May 08 19:55:32 +0000 2018,0.457,0.15,0.85,0.0,71
RT @thegoodfight: Listening to #QueenBaranski read fan tweets is like poetry. 😍 Warning: this video will give you ALL the feels. ☺️❤️ #TheG…,Tue May 08 17:18:20 +0000 2018,0.66,0.242,0.683,0.075,72
"RT @KevinCanWaitCBS: Season 2 of #KevinCanWait comes to a close tonight, and @KevinJames and @LeahRemini have A LOT to say about it. https:…",Mon May 07 17:50:20 +0000 2018,0.0,0.0,1.0,0.0,73
Spend your Friday night with this dynamic duo! Tune in to the season finale of @MacGyverCBS at 8/7c on CBS and CBS… https://t.co/AfWUVo4GSu,Fri May 04 21:00:00 +0000 2018,0.509,0.13,0.87,0.0,74
RT @undercover_cbs: Get ready for the series premiere of #CelebrityBoss in just seven days! How would you react if your favorite celebrity…,Fri May 04 18:42:12 +0000 2018,0.7,0.225,0.775,0.0,75
The force is strong on the set of @bigbangtheory! #MayThe4thBeWithYou https://t.co/uYyXKtuVCM,Fri May 04 14:48:42 +0000 2018,0.556,0.264,0.736,0.0,76
RT @thegoodfight: The fight's not over yet. #TheGoodFight is renewed for Season 3. https://t.co/gUrDeA5KQP,Wed May 02 19:04:01 +0000 2018,0.0,0.0,1.0,0.0,77
RT @TKOCBS: Both @hwventure and @janemun have been named Executive Producers and showrunners of #TKO: TOTAL KNOCK OUT! Learn more about the…,Tue May 01 23:10:50 +0000 2018,0.0,0.0,1.0,0.0,78
"RT @StrangeAngel: Sex. Magick. Rocket Science. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/I3sqWMASxl https://t.co…",Tue May 01 17:58:51 +0000 2018,0.0,0.0,1.0,0.0,79
"Broadway's Biggest Night will honor the best in theatre on Sunday, June 10! Here are the nominees for the… https://t.co/tCiNaLGIvq",Tue May 01 15:16:28 +0000 2018,0.827,0.299,0.701,0.0,80
Tonight's the night! Tune in at 8/7c to see @reba and all your favorite country artists take Vegas by storm at the… https://t.co/UlPpES5eN8,Sun Apr 15 22:00:02 +0000 2018,0.509,0.13,0.87,0.0,81
The anticipation is real. Just three hours away from the 53rd #ACMawards! Tune in at 8/7c on CBS All Access:… https://t.co/9os3PJ4pyQ,Sun Apr 15 21:00:01 +0000 2018,0.176,0.078,0.922,0.0,82
"Are you ready to party with @dariusrucker in a few hours at the #ACMawards? Watch the show LIVE at 8/7c on CBS, or… https://t.co/xAGKgZFRoD",Sun Apr 15 20:00:01 +0000 2018,0.637,0.198,0.802,0.0,83
Look out for @LukeBryanOnline's performance tonight at the 53rd #ACMawards! https://t.co/dgxgsfj5Hg,Sun Apr 15 16:00:01 +0000 2018,0.0,0.0,1.0,0.0,84
Are you as excited for the #ACMawards as @KelseaBallerini? This Female Vocalist Of The Year nominee is taking the s… https://t.co/JSj5jGH25H,Sat Apr 14 23:00:01 +0000 2018,0.34,0.107,0.893,0.0,85
Watch @Jason_Aldean and @ThomasRhett take a break from rehearsals to spend quality time with Route 91 Survivors.… https://t.co/TiDfaYxJUm,Sat Apr 14 20:26:59 +0000 2018,0.0,0.0,1.0,0.0,86
Country's brightest stars like @ThomasRhett are ready to pour their hearts out during their performances tomorrow n… https://t.co/m3zOG8M8lw,Sat Apr 14 18:17:12 +0000 2018,0.84,0.375,0.625,0.0,87
You’re invited to Country Music's Party of the Year®! Here's everything you need to know before watching the 53rd… https://t.co/Xr4iamFD7t,Sat Apr 14 14:00:00 +0000 2018,0.457,0.136,0.864,0.0,88
Get excited! @NCIS_CBS has been renewed for Season 16. https://t.co/JnL0D0vMsV,Fri Apr 13 22:33:38 +0000 2018,0.4,0.23,0.77,0.0,89
What goes into putting on an extraordinary show like the 53rd #ACMawards? Head behind the scenes with the executive… https://t.co/2sFRfYNAku,Fri Apr 13 22:02:29 +0000 2018,0.361,0.116,0.884,0.0,90
Enjoy this #FlashbackFriday revisiting @ThomasRhett @KaceyMusgraves and more of country's biggest names for their f… https://t.co/cnCQBnP1xI,Fri Apr 13 21:49:53 +0000 2018,0.494,0.176,0.824,0.0,91
"Host of the 53rd #ACMawards @reba is ready for ""family, friends, and getting together"" this Sunday! https://t.co/y25ZipnL32",Fri Apr 13 19:54:31 +0000 2018,0.709,0.282,0.718,0.0,92
It's almost time for Broadway's Biggest Night! @katharinemcphee and @leslieodomjr are set to announce nominations f… https://t.co/oHbuSD5ijc,Fri Apr 13 17:46:40 +0000 2018,0.0,0.0,1.0,0.0,93
"In two days, Vocal Group Of The Year nominee @ladyantebellum will be serenading fans from the 53rd #ACMawards stage… https://t.co/ku9cnef29x",Fri Apr 13 16:58:12 +0000 2018,0.0,0.0,1.0,0.0,94
"In just a few days, country superstar @KeithUrban will take center stage with @juliamichaels to perform his new sin… https://t.co/he6TsePMgA",Thu Apr 12 21:00:00 +0000 2018,0.0,0.0,1.0,0.0,95
Country star @MarenMorris lit up the stage in honor of @eltonofficial and she's about to belt it out again at the 5… https://t.co/OkGaL9MlB2,Thu Apr 12 19:00:03 +0000 2018,0.494,0.127,0.873,0.0,96
"Comedian, actor, and global superstar @KevinHart4real will host CBS’ new TV competition TKO: TOTAL KNOCK OUT! Learn… https://t.co/0XfMAoakDM",Thu Apr 12 18:06:10 +0000 2018,0.439,0.145,0.855,0.0,97
You may be surprised to learn some of your favorite TV stars have deep southern roots and a love for country music.… https://t.co/rCoNVI0qeT,Thu Apr 12 16:08:57 +0000 2018,0.844,0.324,0.676,0.0,98
RT @TheTalkCBS: WATCH: @Reba McEntire AND @kelly_clarkson will be singing a duet together at the #ACMs! Check out which song they chose 👍 h…,Wed Apr 11 23:19:26 +0000 2018,0.0,0.0,1.0,0.0,99
"This Sunday night, @carrieunderwood will be taking the stage to share her soon-to-be-released single live at the 53… https://t.co/NRS6RAaKZK",Wed Apr 11 22:24:38 +0000 2018,0.296,0.109,0.891,0.0,100
Justice Ruth Bader Ginsburg says she hopes to stay on the Supreme Court at least five more years until the age of 9… https://t.co/b7GWr3AJky,Sun Jul 29 23:04:37 +0000 2018,0.869,0.318,0.682,0.0,1
A 12-year-old boy who can't speak wrote a book with his eyes https://t.co/keZdphbHau https://t.co/NFx0OB1QHj,Sun Jul 29 23:00:05 +0000 2018,0.0,0.0,1.0,0.0,2
President Trump threatens to push the government into shutdown ahead of the coming appropriations deadline if Congr… https://t.co/HkUFzmjXF8,Sun Jul 29 22:45:13 +0000 2018,-0.382,0.0,0.867,0.133,3
"North Korea may be taking some steps to keep its promises, but they will likely come at great cost to the United St… https://t.co/NHhYo086W7",Sun Jul 29 22:30:03 +0000 2018,0.903,0.347,0.653,0.0,4
"A man arrested in connection to a bi-coastal crime spree that involved murder, rape and holding a woman captive use… https://t.co/PNs68ZvV9F",Sun Jul 29 22:15:06 +0000 2018,-0.952,0.0,0.467,0.533,5
"On this day in 1958, President Dwight D. Eisenhower signed the National Aeronautics and Space Act, which establishe… https://t.co/oKyQTnxcIt",Sun Jul 29 22:00:02 +0000 2018,0.0,0.0,1.0,0.0,6
"Nazi images, including a swastika, were discovered Saturday morning painted on a structure that is part of a Jewish… https://t.co/qV57ew3Ac4",Sun Jul 29 21:50:04 +0000 2018,0.0,0.0,1.0,0.0,7
"Asking a woman about her work-life balance can be problematic, but she should use the opportunity to discuss the ne… https://t.co/cC7IXZTQwb",Sun Jul 29 21:40:01 +0000 2018,0.412,0.156,0.761,0.082,8
This NASA animation shows the dramatic increase of near-Earth objects. See how many asteroids and comets have come… https://t.co/F4wJSgwAi1,Sun Jul 29 21:30:00 +0000 2018,0.318,0.113,0.887,0.0,9
"Trump lawyer Rudy Giuliani once praised Michael Cohen as 'honest,' but now says Cohen has 'lied all his life'… https://t.co/Bt349Fd9D8",Sun Jul 29 21:20:06 +0000 2018,-0.318,0.089,0.766,0.145,10
A German cruise line is facing outrage after one of its employees shot and killed a wild polar bear in Norway after… https://t.co/kmYQZLtUNe,Sun Jul 29 21:05:59 +0000 2018,-0.832,0.0,0.709,0.291,11
President Trump's 2020 campaign denies reports that it is producing flags in China https://t.co/P5rFSU4LAq https://t.co/llzTLssJXI,Sun Jul 29 20:51:22 +0000 2018,-0.422,0.0,0.833,0.167,12
The monstrous Carr Fire in Northern California has doubled in size this weekend. Authorities say at least 12 people… https://t.co/XSG8S7YyTF,Sun Jul 29 20:40:06 +0000 2018,-0.34,0.0,0.888,0.112,13
"""The Brady Bunch"" house, the classic split-level scene for nearly every episode of the hit TV show, is now on the m… https://t.co/OZ0ZdLw13e",Sun Jul 29 20:40:00 +0000 2018,0.0,0.0,1.0,0.0,14
"Listen to the soothing sounds of the sun. Scientists mapped vibrations that form the ""low, pulsing hum of our star'… https://t.co/lrrvtnZK0K",Sun Jul 29 20:30:00 +0000 2018,0.318,0.103,0.897,0.0,15
Former President Barack Obama and first lady Michelle Obama were spotted dancing at a Beyoncé and Jay-Z concert nea… https://t.co/VtJU8vkRfm,Sun Jul 29 20:20:05 +0000 2018,0.0,0.0,1.0,0.0,16
Palestinian teen activist Ahed Tamimi has been released from an Israeli prison after serving an 8-month prison sent… https://t.co/c2XsaRZGQ0,Sun Jul 29 20:10:09 +0000 2018,-0.765,0.0,0.72,0.28,17
There are 100 days to the midterm election. Here's what to watch: https://t.co/64dpmcDvQ7 https://t.co/loNDIF3yfI,Sun Jul 29 20:00:17 +0000 2018,0.0,0.0,1.0,0.0,18
"2018 is on pace to be the fourth hottest year on record, according to data from the National Oceanic and Atmospheri… https://t.co/DGbncI4Pk9",Sun Jul 29 19:55:04 +0000 2018,0.0,0.0,1.0,0.0,19
President Trump threatens to push the government into shutdown ahead of the coming appropriations deadline if Congr… https://t.co/i63KxWcUMA,Sun Jul 29 19:48:30 +0000 2018,-0.382,0.0,0.867,0.133,20
"On this day in 1958, President Dwight D. Eisenhower signed the National Aeronautics and Space Act, which establishe… https://t.co/TpVjqvFWso",Sun Jul 29 15:31:32 +0000 2018,0.0,0.0,1.0,0.0,21
There are 100 days to the midterm election. Here's what to watch: https://t.co/yqi6ZX3a41 https://t.co/PgkWJY6vbC,Sun Jul 29 15:15:10 +0000 2018,0.0,0.0,1.0,0.0,22
Civil rights icon and Georgia congressman Rep. John Lewis has been hospitalized but is expected to be released late… https://t.co/Y8KpPUJefT,Sun Jul 29 15:01:14 +0000 2018,0.0,0.0,1.0,0.0,23
A clinical trial run by UCLA is testing a potentially pioneering form of immunotherapy that could turn a patient's… https://t.co/ILFbFlqJXL,Sun Jul 29 15:01:06 +0000 2018,0.0,0.0,1.0,0.0,24
"2018 is on pace to be the fourth hottest year on record, according to data from the National Oceanic and Atmospheri… https://t.co/K6FMntJR1t",Sun Jul 29 14:56:11 +0000 2018,0.0,0.0,1.0,0.0,25
Recep Tayyip Erdogan denies that Turkey has agreed to free a detained American pastor as part of a possible deal wi… https://t.co/iiiT1mdcfX,Sun Jul 29 14:40:06 +0000 2018,-0.026,0.201,0.595,0.204,26
A 12-year-old boy who can't speak wrote a book with his eyes https://t.co/GmvT6OSsUY https://t.co/t1w6FJR6iN,Sun Jul 29 14:30:07 +0000 2018,0.0,0.0,1.0,0.0,27
President Trump threatens to push the government into shutdown ahead of the coming appropriations deadline if Congr… https://t.co/F4KsOZEbdv,Sun Jul 29 14:22:29 +0000 2018,-0.382,0.0,0.867,0.133,28
What sparks your curiosity? See how Steve Jobs and other curious entrepreneurs revolutionized our world through tec… https://t.co/J3649I6KqG,Sun Jul 29 14:16:06 +0000 2018,0.318,0.119,0.881,0.0,29
Palestinian teenage activist Ahed Tamimi has been freed from an Israeli prison after serving an eight-month prison… https://t.co/KkXsei7Zl0,Sun Jul 29 14:00:13 +0000 2018,-0.153,0.123,0.727,0.15,30
The former mayor of New Orleans Mitch Landrieu says he is a “radical centrist”: “I don’t think abolishing ICE is a… https://t.co/t7L2vJiZPw,Sun Jul 29 13:46:52 +0000 2018,0.0,0.0,1.0,0.0,31
Three new polls show bad news for Republicans ahead of the midterm elections https://t.co/xbfpqVTIp4 https://t.co/3fCfLLjM2d,Sun Jul 29 13:46:05 +0000 2018,-0.542,0.0,0.8,0.2,32
"The future of Sky Bars, NECCO wafers, and Sweethearts is in limbo after NECCO, the oldest American candy company, s… https://t.co/fJ7rqeks2V",Sun Jul 29 13:31:00 +0000 2018,0.586,0.16,0.84,0.0,33
"20 times that Trump and his allies denied he knew of the 2016 Trump Tower meeting 
https://t.co/7PuzZxBnBu https://t.co/QCBKHw9FnY",Sun Jul 29 13:30:08 +0000 2018,-0.44,0.0,0.854,0.146,34
Former White House communications director Anthony Scaramucci on the White House barring CNN's Kaitlan Collins from… https://t.co/MDxTSQ66Fa,Sun Jul 29 13:20:17 +0000 2018,0.0,0.0,1.0,0.0,35
A city once known as America's foreclosure capital will become the first in the US to participate in a test of Univ… https://t.co/AHaazLPWXb,Sun Jul 29 13:16:02 +0000 2018,-0.128,0.0,0.93,0.07,36
"“There’s certainly been a breach in the relationship,” between President Trump and Michael Cohen says former WH com… https://t.co/OKqPkm63pA",Sun Jul 29 13:08:58 +0000 2018,0.34,0.124,0.876,0.0,37
The Trump administration wants to roll back the Endangered Species Act. These 10 animals might not be here today wi… https://t.co/goAQn1TxuL,Sun Jul 29 13:01:06 +0000 2018,0.0,0.0,1.0,0.0,38
"No, this car wasn't split in half. It's Solo, an electric vehicle with one seat and three wheels.… https://t.co/gAfqougR2R",Sun Jul 29 12:31:00 +0000 2018,-0.296,0.0,0.891,0.109,39
"A police officer in Meridian, Mississippi, has been fired after using his stun gun against a handcuffed suspect dur… https://t.co/C1aC5wRvqd",Sun Jul 29 12:30:06 +0000 2018,-0.802,0.0,0.647,0.353,40
"Ximena Barreto, a far-right pundit appointed to a communications post at the Department of Health and Human Service… https://t.co/H6EG3ArFc3",Sun Jul 29 00:40:04 +0000 2018,0.0,0.0,1.0,0.0,41
"Growing homophobia will fuel the HIV epidemic, experts fear https://t.co/5aVw35UywI",Sun Jul 29 00:20:07 +0000 2018,-0.361,0.132,0.62,0.248,42
"Meet the three Democrat women who are all ""elevating one another"" by working together to run for Democratic house s… https://t.co/kXZDKQKJk3",Sun Jul 29 00:00:01 +0000 2018,0.0,0.0,1.0,0.0,43
"""I think a lot of people are tired of hearing ... the adults talk"": On #VanJonesShow, NBA star Carmelo Anthony tell… https://t.co/iLOAONVNMm",Sat Jul 28 23:45:00 +0000 2018,-0.44,0.0,0.873,0.127,44
"The United States government ""completely turned their back"" on Puerto Rico after Hurricane Maria, NBA star Carmelo… https://t.co/BHgNQ5w22A",Sat Jul 28 23:32:30 +0000 2018,0.422,0.141,0.859,0.0,45
"20 times that Trump and his allies denied he knew of the 2016 Trump Tower meeting 
https://t.co/oQtMns1opu https://t.co/B9WQrDLTpM",Sat Jul 28 23:00:08 +0000 2018,-0.44,0.0,0.854,0.146,46
"A police officer in Meridian, Mississippi, has been fired after using his stun gun against a handcuffed suspect dur… https://t.co/bXiUABDFik",Sat Jul 28 22:40:02 +0000 2018,-0.802,0.0,0.647,0.353,47
"Citing possible fraud, Michigan State University has stopped making payments from a fund established to financially… https://t.co/FLD9W9sjYm",Sat Jul 28 22:20:06 +0000 2018,-0.691,0.0,0.711,0.289,48
Gun control groups lost an emergency bid to block a Texas organization from posting instructions to 3-D print a gun… https://t.co/T9WXZ4sTzh,Sat Jul 28 22:00:13 +0000 2018,-0.848,0.0,0.595,0.405,49
A 12-year-old boy who can't speak wrote a book with his eyes https://t.co/kFJcL2mvBC https://t.co/SJ2nbQI8Wn,Sat Jul 28 21:50:06 +0000 2018,0.0,0.0,1.0,0.0,50
This NASA animation shows the dramatic increase of near-Earth objects. See how many asteroids and comets have come… https://t.co/Glff4osObz,Sat Jul 28 21:45:00 +0000 2018,0.318,0.113,0.887,0.0,51
